"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 20:44:32 GMT 2022","Tue Jun 28 20:44:39 GMT 2022","6574","test_conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Tue Jun 28 20:43:54 GMT 2022","Tue Jun 28 20:43:57 GMT 2022","3402","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Tue Jun 28 20:44:08 GMT 2022","Tue Jun 28 20:44:30 GMT 2022","22772","test_conduit","test_conduit","TestConduit","","","test_add_comments",""
"passed","Tue Jun 28 20:44:40 GMT 2022","Tue Jun 28 20:44:51 GMT 2022","10505","test_conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Tue Jun 28 20:44:54 GMT 2022","Tue Jun 28 20:44:56 GMT 2022","1317","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 28 20:43:59 GMT 2022","Tue Jun 28 20:44:06 GMT 2022","7294","test_conduit","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Jun 28 20:44:52 GMT 2022","Tue Jun 28 20:44:53 GMT 2022","220","test_conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Tue Jun 28 20:43:29 GMT 2022","Tue Jun 28 20:43:32 GMT 2022","2592","test_conduit","test_conduit","TestConduit","","","test_reg",""
"passed","Tue Jun 28 20:43:33 GMT 2022","Tue Jun 28 20:43:43 GMT 2022","9753","test_conduit","test_conduit","TestConduit","","","test_logging_in",""
"passed","Tue Jun 28 20:43:45 GMT 2022","Tue Jun 28 20:43:47 GMT 2022","2050","test_conduit","test_conduit","TestConduit","","","test_cookies",""
"passed","Tue Jun 28 20:43:49 GMT 2022","Tue Jun 28 20:43:52 GMT 2022","3301","test_conduit","test_conduit","TestConduit","","","test_listing_data",""
