"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 09:50:08 GMT 2022","Tue Jun 28 09:50:10 GMT 2022","2392","test_conduit","test_conduit","TestConduit","","","test_reg",""
"passed","Tue Jun 28 09:50:38 GMT 2022","Tue Jun 28 09:50:45 GMT 2022","7547","test_conduit","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Jun 28 09:51:20 GMT 2022","Tue Jun 28 09:51:30 GMT 2022","10600","test_conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Tue Jun 28 09:51:11 GMT 2022","Tue Jun 28 09:51:18 GMT 2022","6686","test_conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Tue Jun 28 09:51:32 GMT 2022","Tue Jun 28 09:51:32 GMT 2022","289","test_conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Tue Jun 28 09:51:34 GMT 2022","Tue Jun 28 09:51:35 GMT 2022","1375","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 28 09:50:12 GMT 2022","Tue Jun 28 09:50:22 GMT 2022","9900","test_conduit","test_conduit","TestConduit","","","test_logging_in",""
"passed","Tue Jun 28 09:50:24 GMT 2022","Tue Jun 28 09:50:26 GMT 2022","2062","test_conduit","test_conduit","TestConduit","","","test_cookies",""
"passed","Tue Jun 28 09:50:27 GMT 2022","Tue Jun 28 09:50:31 GMT 2022","3386","test_conduit","test_conduit","TestConduit","","","test_listing_data",""
"passed","Tue Jun 28 09:50:32 GMT 2022","Tue Jun 28 09:50:36 GMT 2022","3501","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Tue Jun 28 09:50:47 GMT 2022","Tue Jun 28 09:51:10 GMT 2022","23023","test_conduit","test_conduit","TestConduit","","","test_add_comments",""
