"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 21:56:54 GMT 2022","Sun Jun 26 21:56:56 GMT 2022","2061","test_conduit","test_conduit","TestConduit","","","test_cookies",""
"passed","Sun Jun 26 21:56:41 GMT 2022","Sun Jun 26 21:56:43 GMT 2022","2399","test_conduit","test_conduit","TestConduit","","","test_reg",""
"broken","Sun Jun 26 21:57:07 GMT 2022","Sun Jun 26 21:57:10 GMT 2022","3392","test_conduit","test_conduit","TestConduit","","","test_new_article",""
"broken","Sun Jun 26 21:57:25 GMT 2022","Sun Jun 26 21:57:26 GMT 2022","1303","test_conduit","test_conduit","TestConduit","","","test_logout",""
"broken","Sun Jun 26 21:56:58 GMT 2022","Sun Jun 26 21:57:02 GMT 2022","4414","test_conduit","test_conduit","TestConduit","","","test_listing_data",""
"broken","Sun Jun 26 21:57:19 GMT 2022","Sun Jun 26 21:57:22 GMT 2022","2291","test_conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Sun Jun 26 21:57:23 GMT 2022","Sun Jun 26 21:57:24 GMT 2022","234","test_conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Sun Jun 26 21:56:45 GMT 2022","Sun Jun 26 21:56:52 GMT 2022","7383","test_conduit","test_conduit","TestConduit","","","test_logging_in",""
"passed","Sun Jun 26 21:57:04 GMT 2022","Sun Jun 26 21:57:05 GMT 2022","1278","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Sun Jun 26 21:57:12 GMT 2022","Sun Jun 26 21:57:14 GMT 2022","2289","test_conduit","test_conduit","TestConduit","","","test_add_comments",""
"broken","Sun Jun 26 21:57:16 GMT 2022","Sun Jun 26 21:57:18 GMT 2022","2295","test_conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
