"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 21:38:36 GMT 2022","Sun Jun 26 21:38:38 GMT 2022","2068","test_conduit","test_conduit","TestConduit","","","test_cookies",""
"broken","Sun Jun 26 21:38:58 GMT 2022","Sun Jun 26 21:39:00 GMT 2022","2322","test_conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Sun Jun 26 21:39:06 GMT 2022","Sun Jun 26 21:39:06 GMT 2022","252","test_conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"broken","Sun Jun 26 21:38:48 GMT 2022","Sun Jun 26 21:38:52 GMT 2022","3408","test_conduit","test_conduit","TestConduit","","","test_new_article",""
"passed","Sun Jun 26 21:38:45 GMT 2022","Sun Jun 26 21:38:47 GMT 2022","1314","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"broken","Sun Jun 26 21:38:39 GMT 2022","Sun Jun 26 21:38:44 GMT 2022","4385","test_conduit","test_conduit","TestConduit","","","test_listing_data",""
"broken","Sun Jun 26 21:39:07 GMT 2022","Sun Jun 26 21:39:09 GMT 2022","1306","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Jun 26 21:38:25 GMT 2022","Sun Jun 26 21:38:28 GMT 2022","2451","test_conduit","test_conduit","TestConduit","","","test_reg",""
"broken","Sun Jun 26 21:38:29 GMT 2022","Sun Jun 26 21:38:34 GMT 2022","4378","test_conduit","test_conduit","TestConduit","","","test_logging_in",""
"broken","Sun Jun 26 21:39:02 GMT 2022","Sun Jun 26 21:39:04 GMT 2022","2323","test_conduit","test_conduit","TestConduit","","","test_delete_comment",""
"broken","Sun Jun 26 21:38:54 GMT 2022","Sun Jun 26 21:38:56 GMT 2022","2326","test_conduit","test_conduit","TestConduit","","","test_add_comments",""
