"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 28 08:55:57 GMT 2022","Tue Jun 28 08:56:01 GMT 2022","4322","test_conduit","test_conduit","TestConduit","","","test_listing_data",""
"broken","Tue Jun 28 08:56:06 GMT 2022","Tue Jun 28 08:56:09 GMT 2022","3289","test_conduit","test_conduit","TestConduit","","","test_new_article",""
"broken","Tue Jun 28 08:56:24 GMT 2022","Tue Jun 28 08:56:26 GMT 2022","1267","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 28 08:55:53 GMT 2022","Tue Jun 28 08:55:55 GMT 2022","2057","test_conduit","test_conduit","TestConduit","","","test_cookies",""
"passed","Tue Jun 28 08:55:44 GMT 2022","Tue Jun 28 08:55:46 GMT 2022","2347","test_conduit","test_conduit","TestConduit","","","test_reg",""
"broken","Tue Jun 28 08:56:19 GMT 2022","Tue Jun 28 08:56:21 GMT 2022","2264","test_conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Tue Jun 28 08:56:22 GMT 2022","Tue Jun 28 08:56:23 GMT 2022","205","test_conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"failed","Tue Jun 28 08:55:48 GMT 2022","Tue Jun 28 08:55:51 GMT 2022","3318","test_conduit","test_conduit","TestConduit","","","test_logging_in",""
"broken","Tue Jun 28 08:56:15 GMT 2022","Tue Jun 28 08:56:17 GMT 2022","2260","test_conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"broken","Tue Jun 28 08:56:11 GMT 2022","Tue Jun 28 08:56:13 GMT 2022","2259","test_conduit","test_conduit","TestConduit","","","test_add_comments",""
"passed","Tue Jun 28 08:56:03 GMT 2022","Tue Jun 28 08:56:04 GMT 2022","1264","test_conduit","test_conduit","TestConduit","","","test_pagination",""
