"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 09:30:53 GMT 2022","Tue Jun 28 09:30:59 GMT 2022","6670","test_conduit","test_conduit","TestConduit","","","test_update_profile_pic",""
"passed","Tue Jun 28 09:30:19 GMT 2022","Tue Jun 28 09:30:26 GMT 2022","7451","test_conduit","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Jun 28 09:31:13 GMT 2022","Tue Jun 28 09:31:13 GMT 2022","254","test_conduit","test_conduit","TestConduit","","","test_save_data_to_file",""
"passed","Tue Jun 28 09:30:09 GMT 2022","Tue Jun 28 09:30:12 GMT 2022","3360","test_conduit","test_conduit","TestConduit","","","test_listing_data",""
"passed","Tue Jun 28 09:30:14 GMT 2022","Tue Jun 28 09:30:17 GMT 2022","3462","test_conduit","test_conduit","TestConduit","","","test_pagination",""
"passed","Tue Jun 28 09:29:54 GMT 2022","Tue Jun 28 09:29:56 GMT 2022","2370","test_conduit","test_conduit","TestConduit","","","test_reg",""
"passed","Tue Jun 28 09:31:16 GMT 2022","Tue Jun 28 09:31:17 GMT 2022","1359","test_conduit","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Jun 28 09:31:01 GMT 2022","Tue Jun 28 09:31:12 GMT 2022","10585","test_conduit","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Tue Jun 28 09:30:04 GMT 2022","Tue Jun 28 09:30:06 GMT 2022","2060","test_conduit","test_conduit","TestConduit","","","test_cookies",""
"passed","Tue Jun 28 09:30:28 GMT 2022","Tue Jun 28 09:30:51 GMT 2022","23002","test_conduit","test_conduit","TestConduit","","","test_add_comments",""
"broken","Tue Jun 28 09:29:58 GMT 2022","Tue Jun 28 09:30:02 GMT 2022","4480","test_conduit","test_conduit","TestConduit","","","test_logging_in",""
